"{4.0878178276815914*^-7, {55.671318206854075, 123.48486899593378, 29.753149236186022, 155.80042359448524, 24.59507325906793, 146.81792977483698}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{3.901434270015335*^-6, {122.25967820963136, 50.65163055196802, 154.41299963240976, 20.528782904520046, 147.34028985682633, 38.75679544427655}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{9.495750065897692*^-7, {39.013578384206475, 147.25794742486727, 20.52176181531959, 154.7223981666172, 50.358246352176344, 122.0318414900318}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{0.0016457509792036171, {147.05086598135475, 24.855267086721476, 155.49153877563066, 29.752109459341288, 123.65467606513592, 55.410950048961205}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{6.101795940859194*^-6, {32.50079030084212, 136.57066124145365, 54.889563901838166, 129.6289566744121, 23.204894730458424, 158.96604743845356}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{2.924831978408862*^-7, {38.93563098690139, 47.645176893744406, 127.83693534455996, 42.05435683568458, 159.33447091654946, 19.399083945601856}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{3.915561021688523*^-7, {19.666204537326674, 159.26823963926537, 42.072697994599174, 128.20827003455548, 47.35680385607772, 139.44764710765597}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.5285073421251913*^-7, {159.20726956422843, 23.463891256573312, 129.26471391014078, 54.83916058103658, 136.67885629111825, 32.24186953087264}}","{-0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{1.2634103621181303*^-6, {57.437195743793815, 121.60937756382596, 30.985723788203376, 154.59386605136504, 25.795663827272783, 145.53853219584704}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.576139329034789*^-7, {120.33119160847605, 52.23304978813679, 153.19926236505714, 21.703186854255833, 146.07227234410868, 40.09312522061854}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
